10	6649.json	barely-true	We know there are more Democrats in Georgia than Republicans. We know that for a fact.	elections	mike-berlon		Georgia	democrat	1	0	0	0	0	an article	While more people voted Democrat in the 2008 primary, Republicans dominated in the 2010 statewide races, and more Georgians voted on the GOP ballot in July. The polling data says its close, but election results and the most recent makeup of the Georgia Legislature suggest there are more Georgians who consider themselves Republican.
11	2508.json	barely-true	PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.	ethics,message-machine	bill-flores	Businessman	Texas	republican	2	0	0	0	0	a TV ad.	We informed Mackowiak of the date conflict. He later told us that the campaign had fixed the date and sent new copies of the ad to the outlets running the ads.
12	11269.json	pants-fire	Denali is the Kenyan word for black power.	environment	viral-image			none	5	5	0	3	15	an image shared on Facebook	"The word ""Denali"" doesnt show up in Swahili, one of Kenyas two national languages. Instead, its Koyukon Athabaskan for ""high"" or ""tall."
13	11200.json	false	Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.	federal-budget,military,poverty	facebook-posts	Social media posting		none	14	18	15	11	36	a meme on social media	A social-media meme says that 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps. To get numbers that approximate this, the pie chart cherry-picks just discretionary spending. But that means the pie chart represents only about one-third of federal spending. Once you include the 60 percent of the budget that is mandatory spending, the military share plunges from 57 percent to 16 percent, and the categories that include Social Security, Medicare and Medicaid collectively account for a majority of federal spending. Spending on food and agriculture is still small, but it does quadruple from 1 percent to 4 percent. Due to its skewed methodology, the pie chart offers a deeply distorted picture of federal spending.
14	8047.json	half-true	On residency requirements for public workers	city-government,county-government,unions	chris-abele	Philanthropist	Wisconsin	none	3	5	4	4	2	a letter	He clearly has some misgivings about residency rules for Milwaukee County government, so leaving the file unsigned is not a major reversal. Still, his actions and words have been inconsistent, to the point where both his political friends and his frequent foes on the County Board were taken aback by his withdrawal from the fight as the legislative battle drew to a close in June. Indeed, if Abele had the nuanced position he says he did, it was so closely held that even one of his top aides apparently was completely unaware of it.
15	4888.json	true	Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.	education,jobs	rick-santorum		Pennsylvania	republican	12	16	13	7	5	a speech	In October, it was 4. 4 percent, according to the BLS. In this category, the numbers havent changed much in the past 12 months. Santorums numbers were on target for college-educated workers. The former senator apparently did his homework this time about the unemployment rate for noncollege-educated workers.
16	3331.json	pants-fire	Unfortunately we have documented instances where people defecated in the (Statehouse) building.	labor,state-budget	tom-niehaus	President of the Ohio Senate	Ohio	republican	0	0	0	0	1	interviews with reporters	As Senate president, Niehaus is one of the most influential people in the state government and when he speaks people listen.
17	9198.json	half-true	A recent Gallup poll found that 72 percent of Americans and 56 percent of Democrats say the biggest threat to our nations security is big government.	government-efficiency,government-regulation,polls	marsha-blackburn	U.S. Representative	Tennessee	republican	2	2	1	0	0	a speech to the Freedom Summit in New Hampshire	"Blackburn said a recent Gallup poll found that 72 percent of Americans and 56 percent of Democrats ""say the biggest threat to our nation's security is big government. ""She got the numbers right, but the specific poll only offered respondents three options: ""big government,"" ""big business"" or ""big labor. Other polls, including Gallups own, show that when respondents are asked an open-ended question, other issues such as the economy rise to the top of the list. So Blackburn is essentially cherry-picking among polls."
18	73.json	true	Each year, 18,000 people die in America because they don't have health care.	health-care	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	a speech in Des Moines, Iowa.	"It was granted a charter by Congress in 1863 and has a mandate to advise the federal government on scientific and technical matters. The report found that people without health care coverage:     received less frequent or no use of cancer screening tests;     received inconsistent care for the management of chronic disease;     received fewer diagnostic and treatment services for trauma or heart attacks, and had an increased risk of death when in the hospital. The report concluded that ""excess deaths among uninsured adults ages 2564, based on a 25 percent higher mortality risk, can be estimated to be in the range of 18,000 each year. ""The report was independently reviewed."
19	1328.json	false	Ronald Reagan faced an even worse recession than the current one.	economy,history	sarah-palin		Alaska	republican	9	19	9	6	6	her book, Going Rogue	The misery index in the current recession has been lower -- 5. 7 in 2008 and 11. 8 so far in 2009. The barometers we examined aren't necessarily equal measurements of the magnitude, but collectively they paint a picture that the current recession -- so far -- is worse than the one under Reagan. Even if we had decided to include inflation as a factor, the measurements would still indicate the current recession is worse.
20	12169.json	mostly-true	There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as.	crime,gays-and-lesbians,sexuality	chris-sgro	Executive Director, Equality NC	North Carolina	activist	0	1	0	1	0	a speech urging Charlotte's anti-discrimination ordinance be left intact	"Chris Sgro, the executive director of Equality NC, said that ""There have not been any public safety issues in those other communities"" with ordinances allowing transgender people to use the bathroom of their choice. We havent found any instances of criminals convicted of using transgender protections as cover in the United States. Neither have any left-wing groups or right-wing groups. There was one incident in Canada, involving a rapist. In the U. S. , there have been a few yet-unproven allegations."
21	5244.json	half-true	Says Mitt Romney was one of the first national Republican leaders to endorse Marco Rubio.	elections	marco-rubio	U.S. Senator	Florida	republican	33	24	32	35	5	a prepared statement	"Rubio said that Romney was ""one of the first national Republican leaders to endorse me. ""Romney did endorse Rubio before Crist dropped out of the primary in 2010. But it was clear at the time that Rubio would have thumped Crist in a primary if Crist hadnt dropped out. But it bears noting that Romneys endorsement of Rubio was something less than a pioneering stand."
22	12996.json	pants-fire	The number of illegal immigrants could be 3 million. It could be 30 million.	immigration	donald-trump	President-Elect	New York	republican	63	114	51	37	61	a speech in Phoenix, Ariz.	"Trump said the number of illegal immigrants ""could be 3 million. It could be 30 million. ""Both figures are not within the range of possibility. Every credible estimate we found was in the 11 million range, with a margin of error of around 1 million. The figure has ""always"" been 11 million, in recent years, because of the flow of undocumented immigrants in and out of the United States."
23	8162.json	mostly-true	Marijuana is less toxic than alcohol.	drugs,health-care,marijuana	marijuana-policy-project			none	0	0	0	1	0	a TV ad	"Our job as fact-checkers in this case is not to decide whether marijuana is good or harmful. We're focused on whether the drug in its natural form is ""less toxic"" than alcohol. In that regard, science and statistics present a strong case:  Deaths or even trips to the hospital are much more likely due to alcohol; Scientists could not find any documented deaths from smoking marijuana; A study found the safety ratio for marijuana (the number of doses to cause death) is much greater than compared to alcohol. Put another way, marijuana is 100 times less toxic than alcohol."
24	10064.json	false	Says Charlie Crist is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme.	jobs,state-budget	republican-party-florida			republican	10	6	6	6	4	a TV ad	"The Republicans ad said, ""Crist is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme,"" referring to Digital Domain getting $20 million in state incentives and then going belly up. But a state report, ordered by Scott, concluded there were no violations of law or rules by Crist or any other politician. The report also showed Crist was one of many political players who helped the company get the state money. A civil court could find that Digital Domain committed fraud. However, the companys plan to pay off its debt in another state by getting money from Florida doesnt meet the definition of a classic Ponzi scheme. Also, while Crist is mentioned in the court filing, he's not a defendant in the case."
25	1084.json	true	Now, there was a time when someone like Scalia and Ginsburg got 95-plus votes.	sotomayor-nomination,supreme-court	lindsey-graham	U.S. senator	South Carolina	republican	2	2	4	2	0	a Senate hearing	Reagan appointee Robert Bork, for example, lost a 42-58 Senate confirmation vote amid much partisan rancor in 1987. Obama was then a community organizer in Chicago. Here, though, we're checking if Graham was right that Scalia and Ginsburg were confirmed by such large margins.
26	13231.json	barely-true	I was gone when there was a red line against Syria.	foreign-policy	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	the second presidential debate	"Clinton said, ""I was gone"" when there was a red line against Syria. Clinton was secretary of state in August 2012 when Obama said if the Assad regime were to use chemical weapons, that would cross a ""red line"" after which Obama would consider using military force in Syria. In the months following that statement, Clinton reiterated Obamas position, using the phrase ""red line. ""A year later, August 2013, the White House confirmed Syria had crossed this ""red line. ""By this point, Clinton had left the State Department months earlier. However, in the days following that revelation, Clinton met with Obama and his staff several times and publicly endorsed the White Houses position on how to respond."
27	13089.json	half-true	Tim Kaine hiked tuition as governor, but now claims to champion affordability.	education,state-budget	republican-national-committee-republican			republican	6	6	11	5	2	a blog post.	As the Democratic vice presidential nominee, Kaine clearly is taking on college affordability by advocating debt-free college for everyone and tuition-free education for in-state students from families making less than $125,000 a year. When Kaine was governor from 2006 to 2010, in-state tuition and instructional fees rose 31. 2 percent at four-year colleges and 24. 5 percent at community colleges. Colleges largely are autonomous in Virginia and allowed to set their own student costs. Tuition has been rising steadily in Virginia and across the nation for decades. While Kaine did not pull the lever for the tuition hikes, they did occur under his watch.
28	1051.json	true	Contends that President Obama literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.	climate-change,energy	mike-pence	Governor	Indiana	republican	8	10	12	5	0	MSNBC interview.	Legislators have opted to give 85 percent of the polluting permits away for free instead of putting them up for sale, as Obama pledged to do on the campaign trail. In theory, this approach should reduce costs to consumers. Furthermore, revenue from auctioned permits will help consumers pay for increased energy prices, according to Obama's first budget. Despite those potential cost cuts, there's still little disagreement that consumers will pay for cap-and-trade, whether it's $3,100 a year or $340.
29	4161.json	mostly-true	Active duty males in the military are twice as likely to develop prostate cancer than their civilian counterparts.	health-care,military	cliff-stearns	U.S. representative	Florida	republican	0	0	2	1	0	a press release	"However, that same research doesnt conclude that military members are twice as likely to ""develop"" prostate cancer as Stearns said. The study hypothesizes that one reason for the different diagnosis rate may be because military members are subject to more frequent health screenings. Getting to the bottom of the discrepancy is actually why Stearns requested the money. Thats a needed clarification when considering Stearns comment."
30	11966.json	false	Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.	congress,supreme-court	cory-gardner	U.S. House of Representatives	Colorado	republican	4	1	0	0	0	a talk show	While hemay have intendedto invoke the example of Supreme Court nominations in the 1888 presidential election-year, he didn't say that.
31	9800.json	false	Under Rosemary Lehmberg, the Travis County D.A.s office convened the grand jury that indicted Rick Perry.	crime,criminal-justice	sarah-palin		Alaska	republican	9	19	9	6	6	a commentary	"Palin said that under Lehmberg, the ""Travis County D. A. s office"" convened the grand jury that indicted Perry. A special grand jury consisting of Travis County citizens indicted Perry in August 2014. But Lehmbergs office played no role in organizing the jurors. Early on, Lehmbergs office recused itself from handling the complaint that eventually resulted in the grand jury whose secret deliberations culminated in Perrys felony charges. A senior district judge from San Antonio, chosen by a judge based in Williamson County, impaneled the grand jury. The San Antonio judge picked a San Antonio lawyer to prosecute the case."
32	816.json	half-true	On which team hes rooting for in the World Series.	baseball,recreation	barack-obama	President	Illinois	democrat	70	71	160	163	9		
33	2646.json	half-true	Tom Ganley has two Fs from the Better Business Bureau and over 160 complaints in just three years.	message-machine,campaign-advertising	democratic-congressional-campaign-committee			democrat	11	8	5	1	9	an election ad	But the ad fails to note that those two grades later changed. Recognizing that Ganley is Ohio's largest car dealer with 20 dealerships is information not in the ad that lends it some perspective. And that the average grade for all those dealerships is a B plus is an important detail that also is missing.
34	12381.json	true	The United States has a low voter turnout rate.	elections	mamie-locke	State senator	Virginia	democrat	0	0	0	0	0	an interview.	"Locke said ""The United States has a low voter turnout rate. ""She based her statement on a Pew study that shows the U. S.  ranks 31st among 34 OECD nations in the percentage of age-eligible people who cast ballots in recent national elections. Wider data, compiled by the International Institute for Democracy and Electoral Assistance, ranks the U. S.  73rd among 109 nations and territories."
35	8567.json	half-true	Says Thomas Jefferson said, You might be able to fool the people for awhile, and they may go astray, but sooner or later the American people are going to wake up and they will correct the course.	health-care,history	herman-cain		Georgia	republican	4	11	5	3	3	a video on Cain TV	"Cain said that Thomas Jefferson said, ""You might be able to fool the people for a while, and they may go astray, but sooner or later the American people are going to wake up and they will correct the course. ""Jefferson did write a line that resembles that in some important ways, but Cain put a fair number of words into Jeffersons mouth. At PunditFact, we believe quotations should be relatively word-for-word accurate. If someone went to the trouble to leave their thoughts for posterity, the least we should do is honor what they actually said."
36	9092.json	barely-true	Because of the federal health care law, 300,000 health plans canceled in Florida.	health-care	rick-scott	Governor	Florida	republican	28	23	38	34	7	a television ad from Let's Get to Work	"Scott's TV ad says, ""300,000 health plans canceled,"" attributing the number to news reports. Last fall, Florida Blue started sending letters to 300,000 members stating that their plans didnt comply with Obamacare and would be canceled. However, the ad omits key information here: Members were offered new plans that complied with the law. Obama later announced that people could keep their plans for another year and most of the Florida Blue members have kept their pre-Obamacare plans for now."
37	10055.json	mostly-true	In Massachusetts, Scott Brown pushed for a law to force women considering abortion -- force them -- to look at color photographs of developing fetuses.	abortion,legal-issues,women	jeanne-shaheen	Senator	New Hampshire	democrat	3	0	4	2	0	an ad	"Shaheens ad says that ""in Massachusetts, Scott Brown pushed for a law to force women considering abortion -- force them -- to look at color photographs of developing fetuses. ""The measure backed by Brown nine years ago made sure that women were provided photos of developing fetuses, along with a lot more information. It certainly forced doctors and their representatives to provide this information to women seeking abortions -- except in cases of emergency -- and it ensured women received the information both through verbal questions and a signed consent form. Brown has a point that the bill wouldn't have ""forced"" them to look at color photographs -- but it did just about everything else it could possibly do up to that line."
38	4513.json	true	The Fed created $1.2 trillion out of nothing, gave it to banks, and some of them foreign banks, so that they could stabilize their operations.	economy,financial-regulation	dennis-kucinich	U.S. representative	Ohio	democrat	1	3	4	6	0	a television interview	"Two of the several foreign banks getting help were Royal Bank of Scotland Plc at $84. 5 billion and UBS AG of Switzerland at $77. 2 billion. The Federal Reserve treats foreign banks operating in the United States the same as U. S.  banks because they are all part of the same financial system. On a side note, even some companies, including General Electric, received emergency cash. So while Kucinichs comment that ""the Fed created $1. 2 trillion out of nothing, gave it to banks and some of them foreign banks so that they could stabilize their operations"" is a bit flip, maybe even pejorative, he was essentially correct in describing the unique money-creating capabilities of the Federal Reserve and how it was used."
39	10340.json	true	Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas sales tax deduction a decade ago.	states,taxes	kevin-brady	U.S. House member	Texas	republican	1	0	0	1	0	a press release	"Brady said: ""Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas' sales tax deduction a decade ago. ""While thats a squishy figure -- an estimate that cant be pinned as a fact unless you somehow divine every Texans marginal tax rate for each of the 10 years, for starters -- it appears to be reasonable. Its also so that families that had these savings were mostly better off; lower-income taxpayers tend not to itemize deductions."
40	6849.json	barely-true	Pre-existing conditions are covered under my (health care) plan.	debates,health-care	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	a presidential debate in Denver	Romney said his health care proposals include protections for pre-existing conditions What he didnt say at the debate -- but which his website states and advisers confirmed after the debate -- is that people would be protected from denial only if they have been continuously insured. The health care law, though, offers protections whether people have current coverage or not, so it offers more robust protection. The law also includes a requirement that everyone have insurance or pay a tax penalty. Romneys plan doesnt have that requirement. Romney did not mention the qualifier that people have to stay insured to get the protection.
41	10971.json	half-true	Greg Abbott activated the state guard to monitor Jade Helm 15 in case the troops try to impose martial law, disarm innocent Texans, and detain them in tunnels beneath closed Walmart stores.	military,states	doonesbury			none	0	0	2	4	0	the strip about Greg Abbott and the Jade Helm military exercise	"Bernie, a Doonesbury character, said Abbott ""activated the state guard to monitor"" Jade Helm 15 ""in case the troops try to impose martial law, disarm innocent Texans, and detain them in tunnels beneath closed Walmart stores. ""Abbott told the Guard to monitor the exercise though far as we can tell, no troops were dispatched or activated. Its also worth noting Abbott has said Texans safety and rights were not threatened by the federal maneuvers."
42	13251.json	pants-fire	Says he won the second debate with Hillary Clinton in a landslide in every poll.	debates,elections,polls	donald-trump	President-Elect	New York	republican	63	114	51	37	61	a tweet	For what theyre worth, those are landslide margins. But even in non-scientific surveys, Trump didnt win them all: In a non-scientific survey done online by the Fox television affiliate in Milwaukee, Clinton won by 52 percent to 48 percent among 325,000 votes cast. But four national, scientific surveys all showed that not only did Trump not win by a landslide margin, he didnt win any of the polls at all.
43	7545.json	barely-true	Says bag litter increased after San Francisco banned single-use shopping bags.	environment	drew-springer			republican	1	0	0	0	0	a press release	"Springer said San Franciscos ""litter from bags actually increased after enacting their ban"" on plastic bags. A litter audit conducted before the ban took full effect found two more retail plastic bags than the previous years sampling. However, the next audit, launched after the ban had been fully in place for nearly a year, saw a two-bag drop. Maybe this means that such litter is decreasing, though we would want more research to reach definitive conclusions."
44	4929.json	mostly-true	In 1993, Newt Gingrich first advocated for the individual mandate in health care. And as recently as May of this year, he was still advocating for it.	health-care	michele-bachmann	Congresswoman	Minnesota	republican	8	22	6	4	16	a Republican presidential debate in Des Moines, Iowa	"In the 1993 interview, Gingrich advocated for individuals ""being required to have health insurance,"" though he expressed flexibility on the details. In the 2011 interview, Gingrich said ""we ought to have some requirement that you either have health insurance or you post a bond. ""Its an exaggeration to say that this equates to advocating for an individual mandate, since he posed it as one of two acceptable options."
45	6239.json	barely-true	Says as a result of the national health care reform, the Congressional Budget Office says we save $250 million over the first 10 years. Over the next 10 years, we save $1.2 trillion in savings in terms of health care.	health-care	robert-menendez	U.S. Senator	New Jersey	democrat	1	3	1	3	0	an interview on Richard French Live	"Over the next 10 years, we save $1. 2 trillion in savings in terms of health care. ""But Menendez fumbled by citing those specific figures. Over the first 10 years, the budget office is projecting a reduction of $210 billion, not the ""$250 million"" cited by Menendez. As for whether there will be ""$1. 2 trillion in savings"" in the second 10 years, the budget office has not projected any specific dollar figure for that period."
46	266.json	half-true	You said you would vote against the Patriot Act, then you came to the Senate, you voted for it.	terrorism	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	a debate in Manchester, N.H.	"Clinton was also among those senators voting yes. Obama said the final deal was not ideal but was an improvement over earlier Republican proposals. ""This compromise does modestly improve the Patriot Act by strengthening civil liberties protections without sacrificing the tools that law enforcement needs to keep us safe,"" he said, adding, ""I urge my colleagues to continue working on ways to improve the civil liberties protections in the Patriot Act after it is reauthorized. ""So while Obama did vote to reauthorize the Patriot Act, he did so after working to improve the law by expanding civil rights guarantees."
47	8841.json	mostly-true	The federal minimum wage is worth about 20 percent less than it was when Ronald Reagan gave his first address to a joint session of Congress.	economy,history,income,workers	barack-obama	President	Illinois	democrat	70	71	160	163	9	the State of the Union address	"Obama said, ""the federal minimum wage is worth about twenty percent less than it was when Ronald Reagan"" gave his first State of the Union address. Obama's not far off, but its actually closer to 16 percent less. And using Reagan to make a case to raise the minimum wage should be taken with a grain of salt since the former president never increased it during his two terms. And by Reagans last State of the Union, the minimum wage was $2 less than when he first took office, if you factor in inflation. We had written that Obama had said ""the federal minimum wage is worth about 20 percent less than it was when Ronald Reagan"" gave his first State of the Union address. As the reader pointed out, a new president's first address to a joint session of Congress -- the 1981 speech that Obama was referring to -- is not officially called a State of the Union address. So we have rewritten our paraphrase in the ruling statement above to remove the reference to the State of the Union."
48	6313.json	false	A proposed tax to fund transportation projects would spend $90,000 to take a single vehicle off the road during the morning and afternoon commute.	transportation	steve-brown	Fayette County Commissioner	Georgia	republican	0	1	1	0	0	a forum hosted by The Atlanta Journal-Constitution	In sum:    Brown based his calculation on a transit cost estimate thats open to accusations of cherry-picking. Furthermore, even Brown and Ross think their own number falls short.
49	9550.json	barely-true	A salesclerk at Hobby Lobby who needs contraception is not going to get that service through her employers health care plan because her employer doesnt think she should be using contraception.	abortion,health-care,legal-issues,women	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	an interview at the Aspen Ideas Festival	"Clinton said that ""a salesclerk at Hobby Lobby who needs contraception  is not going to get that service through her employers health care plan because her employer doesnt think she should be using contraception. ""Hobby Lobby doesnt shun contraception entirely for its employees; it pays for access to 16 out of the FDAs 20 approved methods. Where Clinton has a partial point is that an employee would be barred from having the company pay for four other types, even if one of those may be the best medical option for the employees needs. UPDATE, July 4, 2014: After this article was published, Hillary Clinton's camp got back to us. A spokesman pointed us to a line from Ginsberg's dissent that ""seems to be pretty in line with"" Clinton's comments. ""The exemption sought by Hobby Lobby and Conestoga (Wood Specialties, another plaintiff in the case) would override significant interests of the corporations employees and covered dependents. It would deny legions of women who do not hold their employers beliefs access to contraceptive coverage that the ACA would otherwise secure."
50	9612.json	half-true	Says Charlie Crist voted against raising the minimum wage.	economy,jobs	republican-party-florida			republican	10	6	6	6	4	a campaign commercial	"The Republican Party of Florida said, ""Crist voted against raising the minimum wage. ""We should note that the vote in question was not the kind of vote people would usually think of when it comes to the minimum wage. Crist has never voted on legislation about the minimum wage in any official capacity. But Crist was at a 2004 meeting of a business advocacy group, and there was a unanimous voice vote expressing the organizations opinion against raising the minimum wage. Crist was at the meeting, but none of the votes were recorded."
51	13272.json	barely-true	Hillary Clinton said gun confiscation would be worth considering.	guns	national-rifle-association			none	3	5	1	5	3	a flier.	"The NRA says that when Clinton was asked about gun confiscation, she said ""I think it would be worth doing it on a national level, if that can be arranged. ""Clinton made that statement last year at a New Hampshire campaign stop, when she was asked a vague question about an Australian program that gave gun owners one year to sell certain firearms to the government before those weapons became illegal. She left the NRA some room. But the NRA stretches her words to an almost unrecognizable form. Clinton focused her comments on voluntary buyback programs similar to those some U. S.  communities have instituted for guns and the federal ""cash-for-clunkers"" program. She was ambiguous about how a U. S.  guns buyback program might be structured, saying ""I dont know enough details to tell you how we would do it or how it would work. ""And her campaign since has said she opposes gun confiscation."
52	7562.json	mostly-true	Already, a prototype driverless car has traveled more than 300,000 miles in the crowded maze of California streets without a single accident.	consumer-safety,public-safety,technology,transportation	jeb-bush		Florida	republican	17	5	17	24	2	a speech at CPAC	"During his CPAC speech, Bush talked about technological innovations underway and that will occur over the next 100 years. ""Already, a prototype driverless car has traveled more than 300,000 miles in the crowded maze of California streets without a single accident,"" Bush said. We dont fault Bush for citing the 300,000 figure rather than the recent 500,000 figure, because that higher number only received publicity after the CPAC speech. ""We found two accidents, but they both had mitigating factors. One car was rear ended, which suggests another driver was at fault. In another accident, a human was operating the car, at least according to Google. Still, we couldnt find one incident where a driverless car operating under its own technology clearly caused an accident."
53	3121.json	half-true	Last year, out of the 500,000 (in) population growth we had in the state of Texas, about 250,000 of the 500,000 came to Texas... from the other 49 states.	economy,immigration	david-dewhurst	Lieutenant governor	Texas	republican	8	8	10	5	5	his inaugural address.	"First, the census data for 2010 hasnt been released yet. And the most generous census estimate prior to last year indicates net migration from other states equaled 143,000 people from July 2008 to July 2009, accounting for less than a third of the states population increase in the period. However, looking at Texas population growth in terms of people moving here ""with their feet"" versus people born here, Dewhurst pegged the ratio correctly -- about half-and-half."
54	9578.json	false	When undocumented children are picked up at the border and told to appear later in court ... 90 percent do not then show up.	children,foreign-policy,immigration,legal-issues	jeff-flake	U.S. Senator	Arizona	republican	0	1	0	0	0	"an interview on the PBS ""News Hour"""	"Flake said that when undocumented children are picked up at the border and ""told to appear later in court . . . 90 percent do not then show up. ""Historically, the rate has ranged between 20 percent to 40 percent, settling in at about 30 percent in 2012, the most recent full year for which data is available. A more recent estimate for children specifically, made by the director of the office responsible for handling such cases, is that the current no-show rate for children is 46 percent. Thats still quite high, but its only half what Flake said."
55	4553.json	half-true	Says Gov. Chris Christie cut spending (by) $1 billion and provided $850 million in new education funding.	education,state-budget	committee-our-childrens-future	Political advocacy group	New Jersey	none	0	0	2	1	0	a television ad	Given the cuts made last year, education funding has gone up by a total of about $30 million since Christies first budget in office.
56	2356.json	mostly-true	Hes the only candidate whos balanced budgets and brought jobs to Providence.	candidates-biography,state-budget	steven-costantino	House Finance Chairman 	Rhode Island	democrat	0	1	0	1	0	a TV commercial 	He said he voted in favor of the tax benefits that lured the GTECH headquarters to the capital city. He also supported a variety of ordinances needed for development of the Rhode Island Convention Center. Finally, he told us he added a handful of jobs to the Providence City Council office.
